2026-05-15 23:24:28.577 [info] Starting Excalidraw MCP server...
2026-06-11 09:04:27.925 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.926 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.928 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.929 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.930 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.930 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.931 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.932 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.934 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.934 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.935 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.936 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.937 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.938 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.938 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.939 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.940 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.941 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.941 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.942 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.942 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.943 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.944 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.944 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.944 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.945 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.945 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.946 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.946 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.947 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.948 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.951 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.952 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.953 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.953 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.953 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.954 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.955 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.955 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.956 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.957 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.958 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.959 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.959 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.960 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.961 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.962 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.963 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.963 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.964 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.964 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.965 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.965 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.966 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.967 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.968 [error] Uncaught exception: EPIPE: broken pipe, write
